idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
1,frontend/app/did-rank/page.tsx,Y,/did-rank,R9,visitor,matrix:96-20:auto:did-rank; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:did-rank; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/did-rank; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
2,frontend/app/governance/delegate/page.tsx,Y,/governance/delegate,R9,visitor,matrix:96-20:auto:governance-delegate; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance-delegate; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance/delegate; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
3,frontend/app/governance/distribution-accruals/[id]/page.tsx,Y,/governance/distribution-accruals/:id,R9,visitor,matrix:96-20:auto:governance-distribution-accruals-id; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance-distribution-accruals-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance/distribution-accruals/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
4,frontend/app/governance/distribution-accruals/page.tsx,Y,/governance/distribution-accruals,R9,visitor,matrix:96-20:auto:governance-distribution-accruals; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance-distribution-accruals; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance/distribution-accruals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
5,frontend/app/governance/distribution-claim/page.tsx,Y,/governance/distribution-claim,R9,visitor,matrix:96-20:auto:governance-distribution-claim; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance-distribution-claim; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance/distribution-claim; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
6,frontend/app/governance/fee-routes/page.tsx,Y,/governance/fee-routes,R9,visitor,matrix:96-20:auto:governance-fee-routes; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance-fee-routes; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance/fee-routes; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
7,frontend/app/governance/page.tsx,Y,/governance,R9,visitor,matrix:96-20:auto:governance; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
8,frontend/app/governance/params/page.tsx,Y,/governance/params,R9,visitor,matrix:96-20:auto:governance-params; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance-params; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance/params; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
9,frontend/app/governance/proposals/[id]/page.tsx,Y,/governance/proposals/:id,R9,visitor,matrix:96-20:auto:governance-proposals-id; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance-proposals-id; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance/proposals/:id; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
10,frontend/app/governance/proposals/page.tsx,Y,/governance/proposals,R9,visitor,matrix:96-20:auto:governance-proposals; align:n/a-api,nav;cta;browse,e2e/smoke-governance.spec.ts; e2e/release-flow.spec.ts; e2e/93-matrix-path-did-rank-boards.spec.ts,,PENDING,NOT_RUN,matrix:96-20:auto:governance-proposals; triage: auto-generated row — replace `matrix:96-20:auto:*` with spec-backed `matrix:96-20:…` / `matrix:93:…` after READ of 96-20/93; playwright_ref is round-default from Appendix G (refine per page).,tt:appendix-e-enriched rnd=R9 user_path=/governance/proposals; lbl:placeholder — replace with real `tt:`/`lbl:` from B.3 after human pass
