suite,artifact,status
playwright,frontend/playwright-report,passed
r002_iss007_prereport,evidence/GO_local_r002_verify_round297/r002_iss007_prereport/report.json,PARTIAL_GO
r002_anchor,D-IDX-001,PASS
r002_anchor,B-DSP-003,PASS
r002_anchor,D-COM-011,PASS
r002_anchor,D-ADM-003,PASS
r002_anchor,B-ESC-001,PASS
r002_anchor,B-TGR-001,PASS
r002_anchor,D-ITN-002,PASS
r002_anchor,B-MKT-002,PASS
r002_anchor,B-DSP-001,PASS
r002_anchor,D-COM-001,PASS
r002_anchor,B-ORD-004,PASS
r002_anchor,D-ITN-001,PASS
r002_anchor,B-IDM-001,PASS
r002_anchor,B-ORD-006,PASS
r002_anchor,B-ORD-005,PASS
r002_anchor,B-MSG-002,PASS
r002_anchor,A-AVA-001,PASS
r002_anchor,D-COM-002,PASS
r002_anchor,B-ESC-003,PASS
r002_anchor,D-COM-003,PASS
r002_anchor,D-COM-008,PASS
r002_anchor,D-COM-010,PASS
r002_anchor,D-COM-009,PASS
r002_anchor,B-MKT-004,PASS
r002_anchor,B-MKT-007,PASS
